name,type,baselineQty,range,notes
Coca,Drink,20,10,cans
Coca Zero,Drink,20,10,cans
Guarana Antarctica,Drink,15,5,cans
Schwepps Citrus,Drink,10,5,cans
Suco de Uva,Drink,10,5,cans
Suco de Pessego,Drink,10,5,cans
Suco de Maracuja,Drink,10,5,
Embalagem Para Viagem,Supply,20,10,
Canudos,Supply,4,2,packages
Cones,Supply,100,50,
Copos descartaveis,Supply,2,1,packages
Guardanapos,Supply,4,2,packages
Luvas descartaveis,Supply,4,2,packages
Mat. Limpeza Bucha,Supply,2,1,packages
Mat. Limpeza Detergente,Supply,2,1,packages
Mat. Limpeza Multiuso,Supply,2,1,packages
Mat. Limpeza Perfex,Supply,2,1,packages
Alcool a 70%,Supply,2,1,packages
Massas,Ingridient,50,25,
Carne,Ingridient,2,1,killogram
Frango,Ingridient,2,1,killogram
Linguicinha,Ingridient,2,1,killogram
Peito de Peru,Ingridient,2,1,cubes
Banana,Ingridient,10,5,individual
Chocolate,Ingridient,2,1,by bag
Azeitona,Ingridient,2,1,by bag
Catupiry,Ingridient,2,1,by bag
Cebola,Ingridient,6,3,
Mussarela,Ingridient,2,1,
Orégano,Ingridient,2,1,
Tomate,Ingridient,8,4,
Doce de leite,Ingridient,2,1,
Leite condensado,Ingridient,2,1,
Canela e acucar,Ingridient,2,1,
Molho Barbecue,Ingridient,2,1,
Molho Mostarda com Mel,Ingridient,2,1,
Molho Pasta de Alho,Ingridient,2,1,
Molho 4 Pimentas,Ingridient,2,1,
